date,store_id,region,store_format,category,price,on_promo,promo_discount,effective_price,units_sold,revenue,inventory_on_hand,stockout,day_of_week,week_of_year,month,is_weekend,is_holiday,holiday_name,season
2025-05-20,S001,South,Supercenter,Electronics,194.38,False,0.0,194.38,2,388.76,68,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S001,South,Supercenter,Electronics,508.75,False,0.0,508.75,1,508.75,73,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S001,South,Supercenter,Electronics,571.01,False,0.0,571.01,2,1142.02,88,False,Monday,31,7,False,False,,Summer
2024-08-26,S001,South,Supercenter,Electronics,327.98,False,0.0,327.98,1,327.98,126,False,Monday,35,8,False,False,,Summer
2024-11-17,S001,South,Supercenter,Electronics,182.62,False,0.0,182.62,5,913.1,79,False,Sunday,46,11,True,False,,Fall
2024-09-12,S001,South,Supercenter,Electronics,272.44,True,0.1,245.2,2,490.4,78,False,Thursday,37,9,False,False,,Fall
2025-07-19,S001,South,Supercenter,Electronics,281.16,False,0.0,281.16,3,843.48,66,False,Saturday,29,7,True,False,,Summer
2025-02-13,S001,South,Supercenter,Electronics,79.34,True,0.15,67.44,2,134.88,114,False,Thursday,7,2,False,False,,Winter
2024-11-23,S001,South,Supercenter,Electronics,784.64,False,0.0,784.64,3,2353.92,81,False,Saturday,47,11,True,False,,Fall
2025-02-10,S001,South,Supercenter,Grocery,9.93,False,0.0,9.93,17,168.81,176,False,Monday,7,2,False,False,,Winter
2024-09-03,S001,South,Supercenter,Grocery,4.97,False,0.0,4.97,9,44.73,178,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S001,South,Supercenter,Grocery,13.02,False,0.0,13.02,17,221.34,179,False,Friday,33,8,False,False,,Summer
2025-06-06,S001,South,Supercenter,Grocery,10.96,False,0.0,10.96,4,43.84,161,False,Friday,23,6,False,False,,Summer
2024-09-27,S001,South,Supercenter,Grocery,17.7,False,0.0,17.7,9,159.3,192,False,Friday,39,9,False,False,,Fall
2025-01-31,S001,South,Supercenter,Grocery,17.26,False,0.0,17.26,11,189.86,169,False,Friday,5,1,False,False,,Winter
2024-10-16,S001,South,Supercenter,Grocery,4.2,False,0.0,4.2,10,42.0,180,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S001,South,Supercenter,Grocery,10.18,False,0.0,10.18,27,274.86,168,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S001,South,Supercenter,Grocery,17.72,False,0.0,17.72,21,372.12,195,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S001,South,Supercenter,Grocery,16.34,False,0.0,16.34,16,261.44,201,False,Thursday,49,12,False,False,,Winter
2025-07-05,S001,South,Supercenter,Grocery,10.44,False,0.0,10.44,14,146.16,198,False,Saturday,27,7,True,False,,Summer
2024-09-09,S001,South,Supercenter,Grocery,6.83,False,0.0,6.83,7,47.81,206,False,Monday,37,9,False,False,,Fall
2025-06-01,S001,South,Supercenter,Grocery,15.75,True,0.1,14.18,15,212.7,179,False,Sunday,22,6,True,False,,Summer
2024-09-25,S001,South,Supercenter,Grocery,14.15,False,0.0,14.15,12,169.8,130,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S001,South,Supercenter,Grocery,13.74,True,0.15,11.68,16,186.88,221,False,Monday,51,12,False,False,,Winter
2025-05-28,S001,South,Supercenter,Grocery,16.35,False,0.0,16.35,4,65.4,155,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S001,South,Supercenter,Grocery,16.98,False,0.0,16.98,9,152.82,156,False,Thursday,31,8,False,False,,Summer
2025-05-03,S001,South,Supercenter,Grocery,5.88,False,0.0,5.88,8,47.04,181,False,Saturday,18,5,True,False,,Spring
2025-06-26,S001,South,Supercenter,Grocery,4.69,False,0.0,4.69,6,28.14,193,False,Thursday,26,6,False,False,,Summer
2024-11-10,S001,South,Supercenter,Grocery,6.13,False,0.0,6.13,16,98.08,206,False,Sunday,45,11,True,False,,Fall
2024-08-10,S001,South,Supercenter,Grocery,9.01,False,0.0,9.01,18,162.18,187,False,Saturday,32,8,True,False,,Summer
2025-01-13,S001,South,Supercenter,Grocery,2.14,False,0.0,2.14,14,29.96,192,False,Monday,3,1,False,False,,Winter
2024-10-12,S001,South,Supercenter,Grocery,3.76,False,0.0,3.76,17,63.92,197,False,Saturday,41,10,True,False,,Fall
2025-04-11,S001,South,Supercenter,Grocery,4.43,True,0.1,3.99,4,15.96,203,False,Friday,15,4,False,False,,Spring
2025-04-06,S001,South,Supercenter,Grocery,18.55,False,0.0,18.55,6,111.3,202,False,Sunday,14,4,True,False,,Spring
2025-02-12,S001,South,Supercenter,Grocery,10.67,False,0.0,10.67,10,106.7,212,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S001,South,Supercenter,Grocery,12.88,False,0.0,12.88,9,115.92,219,False,Sunday,10,3,True,False,,Spring
2025-05-20,S001,South,Supercenter,Grocery,18.87,False,0.0,18.87,5,94.35,224,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S001,South,Supercenter,Grocery,19.59,False,0.0,19.59,10,195.9,179,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S001,South,Supercenter,Grocery,16.26,True,0.2,13.01,9,117.09,203,False,Monday,31,7,False,False,,Summer
2024-08-26,S001,South,Supercenter,Grocery,17.7,False,0.0,17.7,11,194.7,188,False,Monday,35,8,False,False,,Summer
2024-11-17,S001,South,Supercenter,Grocery,12.18,False,0.0,12.18,11,133.98,180,False,Sunday,46,11,True,False,,Fall
2024-09-12,S001,South,Supercenter,Grocery,4.93,True,0.1,4.44,12,53.28,190,False,Thursday,37,9,False,False,,Fall
2025-07-19,S001,South,Supercenter,Grocery,10.27,False,0.0,10.27,13,133.51,191,False,Saturday,29,7,True,False,,Summer
2025-02-13,S001,South,Supercenter,Grocery,12.34,False,0.0,12.34,4,49.36,190,False,Thursday,7,2,False,False,,Winter
2024-11-23,S001,South,Supercenter,Grocery,19.98,False,0.0,19.98,23,459.54,170,False,Saturday,47,11,True,False,,Fall
2025-02-10,S001,South,Supercenter,Household,149.9,False,0.0,149.9,6,899.4,60,False,Monday,7,2,False,False,,Winter
2024-09-03,S001,South,Supercenter,Household,150.64,False,0.0,150.64,6,903.84,87,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S001,South,Supercenter,Household,181.66,False,0.0,181.66,6,1089.96,70,False,Friday,33,8,False,False,,Summer
2025-06-06,S001,South,Supercenter,Household,83.97,False,0.0,83.97,5,419.85,85,False,Friday,23,6,False,False,,Summer
2024-09-27,S001,South,Supercenter,Household,98.9,False,0.0,98.9,12,1186.8,43,False,Friday,39,9,False,False,,Fall
2025-01-31,S001,South,Supercenter,Household,190.63,False,0.0,190.63,8,1525.04,121,False,Friday,5,1,False,False,,Winter
2024-10-16,S001,South,Supercenter,Household,153.34,False,0.0,153.34,4,613.36,55,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S001,South,Supercenter,Household,180.23,False,0.0,180.23,7,1261.61,110,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S001,South,Supercenter,Household,173.05,False,0.0,173.05,8,1384.4,105,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S001,South,Supercenter,Household,158.24,False,0.0,158.24,9,1424.16,79,False,Thursday,49,12,False,False,,Winter
2025-07-05,S001,South,Supercenter,Household,102.64,False,0.0,102.64,6,615.84,44,False,Saturday,27,7,True,False,,Summer
2024-09-09,S001,South,Supercenter,Household,67.9,False,0.0,67.9,6,407.4,55,False,Monday,37,9,False,False,,Fall
2025-06-01,S001,South,Supercenter,Household,193.87,False,0.0,193.87,5,969.35,65,False,Sunday,22,6,True,False,,Summer
2024-09-25,S001,South,Supercenter,Household,193.59,False,0.0,193.59,9,1742.31,78,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S001,South,Supercenter,Household,197.71,True,0.05,187.82,3,563.46,81,False,Monday,51,12,False,False,,Winter
2025-05-28,S001,South,Supercenter,Household,144.73,False,0.0,144.73,4,578.92,80,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S001,South,Supercenter,Household,55.46,False,0.0,55.46,8,443.68,33,False,Thursday,31,8,False,False,,Summer
2025-05-03,S001,South,Supercenter,Household,188.57,False,0.0,188.57,1,188.57,73,False,Saturday,18,5,True,False,,Spring
2025-06-26,S001,South,Supercenter,Household,42.66,False,0.0,42.66,4,170.64,78,False,Thursday,26,6,False,False,,Summer
2024-11-10,S001,South,Supercenter,Household,186.04,False,0.0,186.04,8,1488.32,84,False,Sunday,45,11,True,False,,Fall
2024-08-10,S001,South,Supercenter,Household,75.09,True,0.05,71.34,3,214.02,88,False,Saturday,32,8,True,False,,Summer
2025-01-13,S001,South,Supercenter,Household,141.65,False,0.0,141.65,8,1133.2,89,False,Monday,3,1,False,False,,Winter
2024-10-12,S001,South,Supercenter,Household,121.34,False,0.0,121.34,8,970.72,45,False,Saturday,41,10,True,False,,Fall
2025-04-11,S001,South,Supercenter,Household,60.26,False,0.0,60.26,2,120.52,95,False,Friday,15,4,False,False,,Spring
2025-04-06,S001,South,Supercenter,Household,176.14,False,0.0,176.14,3,528.42,75,False,Sunday,14,4,True,False,,Spring
2025-02-12,S001,South,Supercenter,Household,112.52,False,0.0,112.52,8,900.16,63,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S001,South,Supercenter,Household,40.26,False,0.0,40.26,8,322.08,62,False,Sunday,10,3,True,False,,Spring
2025-05-20,S001,South,Supercenter,Household,14.98,True,0.2,11.98,3,35.94,55,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S001,South,Supercenter,Household,68.83,False,0.0,68.83,4,275.32,96,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S001,South,Supercenter,Household,31.63,False,0.0,31.63,4,126.52,65,False,Monday,31,7,False,False,,Summer
2024-08-26,S001,South,Supercenter,Household,82.13,False,0.0,82.13,11,903.43,102,False,Monday,35,8,False,False,,Summer
2024-11-17,S001,South,Supercenter,Household,68.75,False,0.0,68.75,11,756.25,45,False,Sunday,46,11,True,False,,Fall
2024-09-12,S001,South,Supercenter,Household,155.67,False,0.0,155.67,7,1089.69,105,False,Thursday,37,9,False,False,,Fall
2025-07-19,S001,South,Supercenter,Household,179.11,False,0.0,179.11,6,1074.66,58,False,Saturday,29,7,True,False,,Summer
2025-02-13,S001,South,Supercenter,Household,188.13,False,0.0,188.13,12,2257.56,53,False,Thursday,7,2,False,False,,Winter
2024-11-23,S001,South,Supercenter,Household,157.54,True,0.1,141.79,6,850.74,77,False,Saturday,47,11,True,False,,Fall
2025-02-10,S001,South,Supercenter,Pharmacy,141.31,False,0.0,141.31,2,282.62,88,False,Monday,7,2,False,False,,Winter
2024-09-03,S001,South,Supercenter,Pharmacy,90.1,False,0.0,90.1,5,450.5,53,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S001,South,Supercenter,Pharmacy,121.39,True,0.15,103.18,5,515.9,63,False,Friday,33,8,False,False,,Summer
2025-06-06,S001,South,Supercenter,Pharmacy,84.55,False,0.0,84.55,3,253.65,92,False,Friday,23,6,False,False,,Summer
2024-09-27,S001,South,Supercenter,Pharmacy,58.7,False,0.0,58.7,3,176.1,67,False,Friday,39,9,False,False,,Fall
2025-01-31,S001,South,Supercenter,Pharmacy,10.1,True,0.05,9.59,1,9.59,83,False,Friday,5,1,False,False,,Winter
2024-10-16,S001,South,Supercenter,Pharmacy,113.03,False,0.0,113.03,4,452.12,73,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S001,South,Supercenter,Pharmacy,18.53,False,0.0,18.53,9,166.77,66,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S001,South,Supercenter,Pharmacy,49.35,False,0.0,49.35,9,444.15,78,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S001,South,Supercenter,Pharmacy,95.82,True,0.2,76.66,5,383.3,106,False,Thursday,49,12,False,False,,Winter
2025-07-05,S001,South,Supercenter,Pharmacy,134.41,False,0.0,134.41,4,537.64,52,False,Saturday,27,7,True,False,,Summer
2024-09-09,S001,South,Supercenter,Pharmacy,125.47,False,0.0,125.47,2,250.94,99,False,Monday,37,9,False,False,,Fall
2025-06-01,S001,South,Supercenter,Pharmacy,98.28,True,0.2,78.62,6,471.72,100,False,Sunday,22,6,True,False,,Summer
2024-09-25,S001,South,Supercenter,Pharmacy,119.27,False,0.0,119.27,2,238.54,103,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S001,South,Supercenter,Pharmacy,140.02,False,0.0,140.02,2,280.04,85,False,Monday,51,12,False,False,,Winter
2025-05-28,S001,South,Supercenter,Pharmacy,63.6,False,0.0,63.6,4,254.4,44,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S001,South,Supercenter,Pharmacy,11.56,False,0.0,11.56,3,34.68,84,False,Thursday,31,8,False,False,,Summer
2025-05-03,S001,South,Supercenter,Pharmacy,11.27,False,0.0,11.27,4,45.08,52,False,Saturday,18,5,True,False,,Spring
2025-06-26,S001,South,Supercenter,Pharmacy,107.37,False,0.0,107.37,1,107.37,79,False,Thursday,26,6,False,False,,Summer
2024-11-10,S001,South,Supercenter,Pharmacy,93.97,False,0.0,93.97,3,281.91,73,False,Sunday,45,11,True,False,,Fall
2024-08-10,S001,South,Supercenter,Pharmacy,40.25,False,0.0,40.25,3,120.75,98,False,Saturday,32,8,True,False,,Summer
2025-01-13,S001,South,Supercenter,Pharmacy,92.75,False,0.0,92.75,2,185.5,115,False,Monday,3,1,False,False,,Winter
2024-10-12,S001,South,Supercenter,Pharmacy,37.52,True,0.2,30.02,3,90.06,64,False,Saturday,41,10,True,False,,Fall
2025-04-11,S001,South,Supercenter,Pharmacy,42.8,True,0.15,36.38,3,109.14,73,False,Friday,15,4,False,False,,Spring
2025-04-06,S001,South,Supercenter,Pharmacy,127.47,True,0.05,121.1,1,121.1,71,False,Sunday,14,4,True,False,,Spring
2025-02-12,S001,South,Supercenter,Pharmacy,80.56,False,0.0,80.56,3,241.68,101,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S001,South,Supercenter,Pharmacy,37.56,False,0.0,37.56,1,37.56,84,False,Sunday,10,3,True,False,,Spring
2025-05-20,S001,South,Supercenter,Pharmacy,48.12,False,0.0,48.12,3,144.36,107,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S001,South,Supercenter,Pharmacy,108.7,False,0.0,108.7,5,543.5,66,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S001,South,Supercenter,Pharmacy,58.67,True,0.2,46.94,0,0.0,57,False,Monday,31,7,False,False,,Summer
2024-08-26,S001,South,Supercenter,Pharmacy,49.47,False,0.0,49.47,3,148.41,94,False,Monday,35,8,False,False,,Summer
2024-11-17,S001,South,Supercenter,Pharmacy,20.41,False,0.0,20.41,8,163.28,63,False,Sunday,46,11,True,False,,Fall
2024-09-12,S001,South,Supercenter,Pharmacy,49.69,False,0.0,49.69,2,99.38,34,False,Thursday,37,9,False,False,,Fall
2025-07-19,S001,South,Supercenter,Pharmacy,54.0,False,0.0,54.0,6,324.0,49,False,Saturday,29,7,True,False,,Summer
2025-02-13,S001,South,Supercenter,Pharmacy,123.9,False,0.0,123.9,3,371.7,109,False,Thursday,7,2,False,False,,Winter
2024-11-23,S001,South,Supercenter,Pharmacy,49.52,False,0.0,49.52,4,198.08,84,False,Saturday,47,11,True,False,,Fall
2025-02-10,S002,West,Sam's Club,Apparel,56.69,False,0.0,56.69,3,170.07,93,False,Monday,7,2,False,False,,Winter
2024-09-03,S002,West,Sam's Club,Apparel,50.85,False,0.0,50.85,10,508.5,98,False,Tuesday,36,9,False,False,,Fall
2024-08-16,S002,West,Sam's Club,Apparel,77.62,False,0.0,77.62,6,465.72,81,False,Friday,33,8,False,False,,Summer
2025-06-06,S002,West,Sam's Club,Apparel,80.86,False,0.0,80.86,7,566.02,60,False,Friday,23,6,False,False,,Summer
2024-09-27,S002,West,Sam's Club,Apparel,31.57,False,0.0,31.57,4,126.28,79,False,Friday,39,9,False,False,,Fall
2025-01-31,S002,West,Sam's Club,Apparel,93.61,False,0.0,93.61,7,655.27,80,False,Friday,5,1,False,False,,Winter
2024-10-16,S002,West,Sam's Club,Apparel,36.02,False,0.0,36.02,5,180.1,47,False,Wednesday,42,10,False,False,,Fall
2024-11-28,S002,West,Sam's Club,Apparel,33.22,False,0.0,33.22,9,298.98,82,False,Thursday,48,11,False,True,Thanksgiving,Fall
2024-12-31,S002,West,Sam's Club,Apparel,43.88,True,0.05,41.69,7,291.83,81,False,Tuesday,1,12,False,True,New Year's Eve,Winter
2024-12-05,S002,West,Sam's Club,Apparel,91.54,False,0.0,91.54,3,274.62,61,False,Thursday,49,12,False,False,,Winter
2025-07-05,S002,West,Sam's Club,Apparel,113.1,False,0.0,113.1,2,226.2,98,False,Saturday,27,7,True,False,,Summer
2024-09-09,S002,West,Sam's Club,Apparel,106.84,False,0.0,106.84,5,534.2,70,False,Monday,37,9,False,False,,Fall
2025-06-01,S002,West,Sam's Club,Apparel,49.87,False,0.0,49.87,2,99.74,70,False,Sunday,22,6,True,False,,Summer
2024-09-25,S002,West,Sam's Club,Apparel,51.14,True,0.05,48.58,6,291.48,80,False,Wednesday,39,9,False,False,,Fall
2024-12-16,S002,West,Sam's Club,Apparel,60.84,False,0.0,60.84,1,60.84,27,False,Monday,51,12,False,False,,Winter
2025-05-28,S002,West,Sam's Club,Apparel,18.41,True,0.1,16.57,1,16.57,63,False,Wednesday,22,5,False,False,,Spring
2024-08-01,S002,West,Sam's Club,Apparel,61.94,True,0.15,52.65,4,210.6,107,False,Thursday,31,8,False,False,,Summer
2025-05-03,S002,West,Sam's Club,Apparel,27.48,False,0.0,27.48,4,109.92,92,False,Saturday,18,5,True,False,,Spring
2025-06-26,S002,West,Sam's Club,Apparel,27.9,False,0.0,27.9,2,55.8,60,False,Thursday,26,6,False,False,,Summer
2024-11-10,S002,West,Sam's Club,Apparel,17.92,False,0.0,17.92,7,125.44,62,False,Sunday,45,11,True,False,,Fall
2024-08-10,S002,West,Sam's Club,Apparel,60.1,False,0.0,60.1,7,420.7,64,False,Saturday,32,8,True,False,,Summer
2025-01-13,S002,West,Sam's Club,Apparel,19.22,False,0.0,19.22,5,96.1,83,False,Monday,3,1,False,False,,Winter
2024-10-12,S002,West,Sam's Club,Apparel,20.25,False,0.0,20.25,5,101.25,75,False,Saturday,41,10,True,False,,Fall
2025-04-11,S002,West,Sam's Club,Apparel,58.91,True,0.15,50.07,4,200.28,74,False,Friday,15,4,False,False,,Spring
2025-04-06,S002,West,Sam's Club,Apparel,16.53,False,0.0,16.53,4,66.12,97,False,Sunday,14,4,True,False,,Spring
2025-02-12,S002,West,Sam's Club,Apparel,59.1,False,0.0,59.1,5,295.5,90,False,Wednesday,7,2,False,False,,Winter
2025-03-09,S002,West,Sam's Club,Apparel,24.98,False,0.0,24.98,1,24.98,74,False,Sunday,10,3,True,False,,Spring
2025-05-20,S002,West,Sam's Club,Apparel,35.25,False,0.0,35.25,2,70.5,73,False,Tuesday,21,5,False,False,,Spring
2025-07-16,S002,West,Sam's Club,Apparel,13.86,False,0.0,13.86,2,27.72,91,False,Wednesday,29,7,False,False,,Summer
2025-07-28,S002,West,Sam's Club,Apparel,72.21,False,0.0,72.21,2,144.42,89,False,Monday,31,7,False,False,,Summer
